eventID,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimIdentification,scientificName,vernacularName,eventRemarks
bsp150409016,2023-03-06,2023-03-06 14:26:29 UTC,39.9809883333,-75.1524195,American Woodcock,Scolopax minor,American Woodcock,
bsp150440436,2023-03-06,2023-03-06 20:13:59 UTC,39.9527283333,-75.1392971667,Song Sparrow,Melospiza melodia,Song Sparrow,This bird appeared stunned from a collision of sorts.  After being poked it hopped around but it’s neck was on an angle for a bit and it kept shaking its head around.
bsp150511797,2023-03-07,2023-03-07 19:36:59 UTC,39.9540533333,-75.1443416667,European Starling,Sturnus vulgaris,European Starling,
bsp150963586,2023-03-12,2023-03-12 20:02:49 UTC,39.8769354092,-75.2398477122,American Woodcock,Scolopax minor,American Woodcock,Window collision inside roadway terminal D
bsp151150690,2023-03-14,,39.954324,-75.178055,American Woodcock,Scolopax minor,American Woodcock,Bird observed dead in planter box at front of building
bsp151203973,2023-03-14,,39.947096,-75.158369,American Woodcock,Scolopax minor,American Woodcock,Found in flower bed on North side of building.
bsp151386632,2023-03-17,2023-03-17 13:30:30 UTC,39.9536,-75.1726222222,American Woodcock,Scolopax minor,American Woodcock,Found dead behind bench in Center City. Possibly a window strike.
bsp151718676,2023-03-20,2023-03-20 11:26:13 UTC,39.9805633333,-75.1526945,American Woodcock,Scolopax minor,American Woodcock,
bsp151722409,2023-03-13,2023-03-13 11:38:00 UTC,39.9806021328,-75.152696506,American Woodcock,Scolopax minor,American Woodcock,
bsp151847320,2023-03-21,2023-03-21 17:41:52 UTC,39.955695,-75.169814,American Woodcock,Scolopax minor,American Woodcock,
bsp151943188,2023-03-22,2023-03-22 17:00:00 UTC,39.9809569352,-75.1528025453,Pine Warbler,Setophaga pinus,Pine Warbler,
bsp152049635,2023-03-23,2023-03-23 17:56:08 UTC,39.981045,-75.1527471667,House Sparrow,Passer domesticus,House Sparrow,
bsp152415455,2023-03-26,2023-03-26 20:19:36 UTC,39.9615914933,-75.2009367774,House Sparrow,Passer domesticus,House Sparrow,
bsp152494379,2023-03-26,2023-03-26 14:56:55 UTC,39.9564528904,-75.144235466,Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,This bird was found dead on sidewalk.  There are no buildings or glass on this side of the street.
bsp152774141,2023-03-29,2023-03-29 19:18:29 UTC,39.8949466667,-75.17115,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,201 Rouse Blvd
bsp152887838,2023-03-30,2023-03-31 00:45:33 UTC,39.9231049754,-75.1464582235,Northern Flicker,Colaptes auratus,Northern Flicker,Likely hit by car a couple yards away on I-95
bsp153362056,2023-04-03,2023-04-03 19:51:15 UTC,39.9362721,-75.19848944,Yellow-bellied Sapsucker,Sphyrapicus varius,Yellow-bellied Sapsucker,Collected
bsp153365961,2023-04-03,2023-04-03 19:55:05 UTC,39.9361318,-75.1985384,Yellow-bellied Sapsucker,Sphyrapicus varius,Yellow-bellied Sapsucker,Collected
bsp153571485,2023-04-05,2023-04-05 14:57:15 UTC,39.9813581163,-75.1531076984,American Woodcock,Scolopax minor,American Woodcock,"Window strike, more than 24 hours dead by smell."
bsp153751497,2023-04-06,2023-04-06 18:11:13 UTC,39.9805561,-75.1527990997,American Woodcock,Scolopax minor,American Woodcock,
bsp154278233,2023-04-10,2023-04-10 15:00:01 UTC,39.98123,-75.1529471667,Red-bellied Woodpecker,Melanerpes carolinus,Red-bellied Woodpecker,
bsp154511634,2023-04-11,2023-04-12 02:07:36 UTC,39.9544678476,-75.1895065822,,Passer domesticus,House Sparrow,
bsp154579918,2023-04-12,2023-04-12 15:58:32 UTC,39.9499783333,-75.198105,Northern Flicker,Colaptes auratus,Northern Flicker,
bsp154691017,2023-04-12,2023-04-12 20:57:37 UTC,39.9542083333,-75.211875,Yellow-bellied Sapsucker,Sphyrapicus varius,Yellow-bellied Sapsucker,Window strike outside the New Tavern restaurant at 45th and Locust. Found in the afternoon but it was probably a morning strike that day - already stiff but not squished by passersby
bsp154832654,2023-04-14,2023-04-14 15:59:58 UTC,39.9809741522,-75.1560142424,American Woodcock,Scolopax minor,American Woodcock,Disposed of due to high number of flies gathered on body. Students passing by said they noticed the bird at least two days prior.
bsp155386543,2023-04-17,2023-04-17 21:54:06 UTC,39.9399928949,-75.1603784922,House Finch,Haemorhous mexicanus,House Finch,
